Date,AAPL,GOOGL,MSFT,SBUX,TSLA
2014-01-02,17.215370178222656,27.723310470581055,30.99640655517578,31.12883186340332,10.006667137145996
2014-01-03,16.837215423583984,27.521074295043945,30.787883758544922,31.040082931518555,9.970666885375977
2014-01-06,16.92902946472168,27.82791519165039,30.13725471496582,30.725448608398438,9.800000190734863
2014-01-07,16.807966232299805,28.364391326904297,30.370813369750977,31.14496612548828,9.957332611083984
2014-01-08,16.914405822753906,28.423419952392578,29.828636169433594,31.475736618041992,10.085332870483398
2014-01-09,16.698408126831055,28.149703979492188,29.636781692504883,31.30228042602539,9.835332870483398
2014-01-10,16.586978912353516,28.148210525512695,30.06218147277832,31.330520629882812,9.714667320251465
2014-01-13,16.67381477355957,27.968887329101562,29.17799949645996,30.301898956298828,9.28933334350586
2014-01-14,17.005598068237305,28.62689971923828,29.845308303833008,30.439062118530273,10.751333236694336
2014-01-15,17.347021102905273,28.607471466064453,30.66274642944336,30.7335147857666,10.942000389099121
2014-01-16,17.250228881835938,28.7967586517334,30.77120590209961,30.3704776763916,11.39799976348877
2014-01-17,16.82756805419922,28.655044555664062,30.345802307128906,30.213167190551758,11.333999633789062
2014-01-21,17.08900260925293,28.983055114746094,30.170610427856445,29.70893096923828,11.778667449951172
2014-01-22,17.164947509765625,29.015933990478516,29.97043228149414,29.688756942749023,11.904000282287598
2014-01-23,17.310291290283203,28.893394470214844,30.078866958618164,29.604063034057617,12.100000381469727
2014-01-24,16.995634078979492,27.99005699157715,30.7044677734375,30.245433807373047,11.640000343322754
2014-01-27,17.13351821899414,27.42717933654785,30.053850173950195,29.934829711914062,11.307999610900879
2014-01-28,15.764079093933105,27.96963119506836,30.25404167175293,29.805749893188477,11.892000198364258
2014-01-29,15.585115432739258,27.568893432617188,30.57933807373047,28.865867614746094,11.682000160217285
2014-01-30,15.55492877960205,28.27796745300293,30.746177673339844,29.007055282592773,12.189332962036133
2014-01-31,15.580450057983398,29.41318130493164,31.56362533569336,28.68838119506836,12.093999862670898
2014-02-03,15.609394073486328,28.22915267944336,30.429208755493164,27.82111358642578,11.807332992553711
2014-02-04,15.835347175598145,28.34695816040039,30.320764541625977,28.606632232666016,11.915332794189453
2014-02-05,15.953619956970215,28.472482681274414,29.8786678314209,28.541854858398438,11.628000259399414
2014-02-06,16.046606063842773,28.889907836914062,30.178964614868164,29.29903221130371,11.892000198364258
2014-02-07,16.271102905273438,29.32526397705078,30.495946884155273,29.979267120361328,12.435333251953125
2014-02-10,16.56259536743164,29.212936401367188,30.696134567260742,30.28700065612793,13.104000091552734
2014-02-11,16.78082847595215,29.64256477355957,31.004762649536133,30.165529251098633,13.107999801635742
2014-02-12,16.77956771850586,29.55564308166504,31.2550106048584,29.926631927490234,13.021332740783691
2014-02-13,17.046024322509766,29.88465118408203,31.37177848815918,30.242464065551758,13.308667182922363
2014-02-14,17.032241821289062,29.956876754760742,31.38011932373047,30.38011360168457,13.215332984924316
2014-02-18,17.09486961364746,30.158117294311523,31.447341918945312,29.950925827026367,13.579999923706055
2014-02-19,16.824979782104492,29.94542121887207,31.522993087768555,29.6877384185791,12.909333229064941
2014-02-20,16.63022804260254,29.989505767822266,31.724672317504883,29.780864715576172,13.998000144958496
2014-02-21,16.445497512817383,29.98153305053711,31.917964935302734,29.3799991607666,13.973333358764648
2014-02-24,16.517505645751953,30.198715209960938,31.67425537109375,29.3799991607666,14.510000228881836
2014-02-25,16.345619201660156,30.38526153564453,31.54819107055664,28.566137313842773,16.53333282470703
2014-02-26,16.198152542114258,30.389493942260742,31.489381790161133,29.064184188842773,16.866666793823242
2014-02-27,16.521270751953125,30.365585327148438,31.81711196899414,29.230199813842773,16.836000442504883
2014-02-28,16.476499557495117,30.276920318603516,32.195289611816406,28.732160568237305,16.320667266845703
2014-03-03,16.52408790588379,29.954137802124023,31.749887466430664,28.53374671936035,16.70400047302246
2014-03-04,16.633039474487305,30.258487701416016,32.27933120727539,29.015581130981445,16.98933219909668
2014-03-05,16.66811180114746,30.341922760009766,32.027217864990234,28.869821548461914,16.8439998626709
2014-03-06,16.617698669433594,30.375547409057617,32.060829162597656,29.432641983032227,16.862667083740234
2014-03-07,16.607994079589844,30.25550079345703,31.850740432739258,29.58650779724121,16.413999557495117
2014-03-10,16.623031616210938,30.17530632019043,31.78350830078125,29.78490447998047,15.922666549682617
2014-03-11,16.784894943237305,29.886890411376953,31.95157814025879,30.38011360168457,15.62733268737793
2014-03-12,16.80117416381836,30.06895637512207,32.161685943603516,30.623069763183594,16.099332809448242
2014-03-13,16.61457061767578,29.614669799804688,31.842329025268555,30.137182235717773,15.852666854858398
2014-03-14,16.427968978881836,29.209697723388672,31.68266487121582,30.072399139404297,15.39799976348877
2014-03-17,16.492155075073242,29.690385818481445,31.976795196533203,30.035959243774414,15.59866714477539
2014-03-18,16.6380558013916,30.16758155822754,33.23736572265625,30.20600700378418,16.002666473388672
2014-03-19,16.633670806884766,29.86846160888672,33.00205993652344,30.73644256591797,15.72266674041748
2014-03-20,16.553516387939453,29.816410064697266,33.892879486083984,31.161598205566406,15.660667419433594
